Area_SqFt,Bedrooms,Bathrooms,Location,Year_Built,Parking,Floors,Amenities,Price
7449.0,5,5.0,Downtown,1978.0,No,4,Standard,160472584.82830083
4658.0,6,5.0,Downtown,1966.0,Yes,4,Standard,119195284.5328522
6227.0,6,5.0,Downtown,1955.0,Yes,4,Standard,146160674.08321056
3712.0,4,4.0,Downtown,1952.0,Yes,1,Luxury,96458255.6412235
3097.0,1,1.0,Uptown,1966.0,No,1,Basic,61905681.756208256
6353.0,3,2.0,Uptown,2009.0,No,2,Basic,121358504.38838479
6096.0,4,4.5,Uptown,1964.0,Yes,1,Luxury,126789863.10005693
4037.0,2,2.0,Uptown,1968.0,No,1,Standard,80737660.26217186
5236.0,4,3.5,Rural,1960.0,Yes,4,Standard,100723159.07237498
3552.0,4,4.0,Suburbs,2019.0,Yes,1,Basic,87671078.62405778
2180.0,5,5.0,Suburbs,2004.0,Yes,1,Basic,71767552.08005992
4297.0,3,3.5,Suburbs,1965.0,Yes,2,Standard,90383960.91148815
6636.0,5,4.5,Suburbs,1954.0,No,1,Basic,120963188.17703561
7612.0,6,5.0,Downtown,2024.0,Yes,2,Standard,174144466.61262965
528.0,4,4.5,Suburbs,1994.0,Yes,3,Basic,48483037.286838874
3961.0,2,1.0,Suburbs,2023.0,Yes,4,Standard,87310483.6319538
4498.0,5,5.0,Downtown,1965.0,No,3,Basic,107211571.85990494
648.0,3,3.5,Downtown,1965.0,No,2,Basic,42482687.77249866
1752.0,2,2.5,Suburbs,2016.0,Yes,2,Luxury,62460172.960560985
5322.0,6,5.0,Suburbs,1988.0,No,4,Basic,114081889.0571006
837.0,2,2.0,Suburbs,1992.0,Yes,2,Standard,41435624.66006903
1041.0,3,3.0,Suburbs,2017.0,Yes,1,Luxury,57575007.801179454
4924.0,6,5.0,Suburbs,1960.0,Yes,3,Standard,110217470.7426964
7145.0,1,1.0,Downtown,1991.0,Yes,2,Basic,134004145.51578704
3229.0,2,2.0,Rural,1975.0,Yes,1,Basic,58498484.24866006
4563.0,5,5.0,Suburbs,1952.0,Yes,1,Standard,98737727.12369883
1093.0,6,5.0,Suburbs,1975.0,Yes,2,Standard,61002284.77296441
2197.0,1,1.0,Uptown,1969.0,Yes,2,Standard,57588709.888070166
2017.0,4,3.5,Rural,2005.0,Yes,4,Basic,62122791.21472139
2298.0,5,5.0,Rural,1964.0,Yes,1,Basic,63997397.09821392
6447.0,6,5.0,Downtown,2012.0,Yes,1,Standard,150952327.4808429
6853.0,3,4.0,Uptown,1979.0,Yes,2,Basic,126181964.37060983
6523.0,4,3.5,Downtown,1962.0,No,3,Basic,134264942.95768386
3203.0,3,3.5,Waterfront,2004.0,Yes,1,Standard,100303757.79812104
5982.0,3,2.5,Waterfront,2025.0,No,4,Standard,146672995.6056319
2446.0,4,4.0,Suburbs,,Yes,1,Standard,73718179.59403098
1476.0,2,3.0,Suburbs,1984.0,Yes,3,Standard,54675883.69671574
5725.0,1,1.0,Downtown,1961.0,Yes,4,Basic,109455300.8631265
6231.0,1,1.0,Suburbs,1972.0,Yes,3,Basic,103203958.54193646
7908.0,2,2.5,Suburbs,1987.0,Yes,3,Basic,134393240.03063035
6670.0,3,3.0,Suburbs,1962.0,Yes,2,Standard,118564050.96729301
2455.0,4,4.0,Rural,1978.0,Yes,1,Luxury,69251443.52521183
4514.0,2,2.5,Downtown,1973.0,Yes,2,Basic,94412134.48403242
7920.0,3,4.0,Suburbs,2025.0,Yes,1,Standard,144179830.61196718
7208.0,4,4.5,Uptown,2023.0,Yes,3,Basic,145623670.11795145
4712.0,3,3.0,Waterfront,2016.0,Yes,4,Standard,125145824.10124606
3041.0,6,5.0,Uptown,2009.0,No,2,Standard,94754567.58539356
7814.0,6,5.0,Suburbs,2023.0,Yes,1,Standard,155138971.9221321
5159.0,3,3.0,Suburbs,2024.0,Yes,3,Luxury,116386223.66521879
504.0,6,5.0,Downtown,1967.0,Yes,4,Standard,60898297.30548368
2363.0,1,1.0,Downtown,2007.0,Yes,3,Luxury,74921222.98341033
6546.0,2,2.5,Downtown,1954.0,Yes,4,Basic,131786835.12375131
5249.0,4,4.0,Downtown,2018.0,No,1,Luxury,127700357.57092685
6075.0,6,5.0,Downtown,2022.0,No,3,Standard,145552595.0198737
3897.0,5,5.0,Suburbs,2015.0,No,2,Basic,94937571.6754874
4945.0,5,5.0,Downtown,1966.0,No,4,Luxury,127618221.65204109
1271.0,1,1.0,Rural,1972.0,Yes,3,Standard,37542217.11563257
2658.0,1,1.0,Uptown,2010.0,Yes,4,,70117907.45781237
5870.0,5,5.0,Uptown,1974.0,No,3,Standard,124960566.64827946
1069.0,2,1.0,Suburbs,1964.0,No,3,Standard,39498388.29547718
7313.0,4,3.5,Suburbs,1962.0,Yes,1,Standard,130504468.75758871
1471.0,6,5.0,Uptown,1959.0,Yes,1,Standard,66158169.90307616
7316.0,4,4.5,Uptown,2007.0,Yes,2,Basic,142050715.4749328
7594.0,2,2.0,Downtown,2024.0,Yes,4,Standard,156506258.1144337
2883.0,4,4.0,Suburbs,1982.0,Yes,3,Standard,79298698.72350165
1779.0,3,3.0,Rural,2023.0,Yes,1,Standard,55086583.96709106
3567.0,1,1.0,Suburbs,2009.0,Yes,4,Basic,74292091.94355631
7583.0,3,3.0,Downtown,1999.0,No,3,Basic,152467199.39330196
6954.0,3,2.5,Downtown,1995.0,Yes,1,Basic,141714336.8997581
1315.0,3,2.5,Suburbs,1980.0,No,2,Basic,45777167.07842962
6029.0,1,1.5,Downtown,2001.0,No,3,Luxury,126898551.39747761
6738.0,4,4.5,Uptown,1993.0,Yes,3,Standard,137215558.3064394
4496.0,3,3.5,Downtown,2016.0,Yes,1,Basic,103785100.11994974
5479.0,1,1.0,Uptown,2025.0,Yes,2,Standard,105637989.38713358
552.0,6,5.0,Downtown,1968.0,Yes,3,Basic,57499885.44110178
3998.0,3,3.0,Downtown,1987.0,Yes,1,Standard,92460039.26876538
2027.0,5,5.0,Uptown,1970.0,No,2,Basic,68400941.5224404
6624.0,5,5.0,Suburbs,1974.0,Yes,2,Standard,131960172.12831971
702.0,5,5.0,Downtown,2007.0,Yes,3,Standard,66264148.173026204
4878.0,6,5.0,Downtown,1983.0,No,2,Standard,121015517.95723228
4302.0,4,4.5,Rural,1964.0,Yes,4,Basic,92133364.34446044
3945.0,3,4.0,Suburbs,2000.0,Yes,1,Standard,91311759.20075542
555.0,3,4.0,Downtown,1987.0,Yes,4,Standard,56021687.26701062
7568.0,3,3.0,Downtown,1976.0,Yes,2,Standard,153921003.46515352
5737.0,4,4.5,Suburbs,1954.0,No,4,Standard,116656412.60290852
4465.0,1,1.5,Suburbs,1960.0,Yes,2,Standard,81291942.4017131
3972.0,4,3.5,Suburbs,2020.0,Yes,2,Basic,91609619.18484433
7277.0,4,4.0,Downtown,1977.0,No,4,Basic,152397643.93700558
3446.0,3,2.5,Uptown,1997.0,No,1,Basic,78359970.25640865
7950.0,3,2.0,Uptown,1959.0,Yes,3,Basic,137732860.14420187
7543.0,6,5.0,Uptown,2014.0,Yes,2,Standard,153992971.34288198
6639.0,3,3.0,Rural,1978.0,Yes,4,Basic,117024686.47674091
513.0,6,5.0,Downtown,1955.0,Yes,2,Luxury,65798364.144632824
1679.0,1,1.0,Downtown,2002.0,No,2,Basic,50078485.23425463
6765.0,2,2.0,Suburbs,2008.0,Yes,4,Standard,124498212.33801883
1078.0,5,5.0,Uptown,2025.0,Yes,3,Basic,64612318.562075734
6119.0,1,1.5,Uptown,1971.0,Yes,3,Standard,109252312.14516151
4993.0,5,4.0,Downtown,1986.0,No,2,Standard,117997146.98885782
6459.0,3,3.0,Downtown,1959.0,Yes,4,Standard,136954920.17691815
6967.0,3,3.0,Uptown,1961.0,No,4,Standard,130468980.00419988
5677.0,5,5.0,Rural,2007.0,No,4,Basic,113072419.63447788
,6,5.0,Uptown,2016.0,Yes,2,Luxury,152955834.70035616
2790.0,5,4.0,Uptown,2019.0,No,1,Standard,84649252.77141444
7516.0,1,1.0,Uptown,2008.0,No,2,Luxury,135588159.85927147
4145.0,5,5.0,Downtown,1963.0,Yes,3,Luxury,114248438.0061508
1459.0,1,1.0,Suburbs,1985.0,No,3,Basic,40882832.59213359
3778.0,5,5.0,Suburbs,1981.0,No,4,Luxury,101748405.56225982
4053.0,5,4.5,Rural,1987.0,Yes,2,Luxury,96612815.4747116
5845.0,3,2.5,Suburbs,1999.0,Yes,3,Basic,112799295.79155552
6122.0,4,3.0,Waterfront,2023.0,No,4,Basic,144869332.2753155
4459.0,2,2.0,Rural,2026.0,Yes,2,Basic,83896328.62223299
6115.0,2,1.5,Downtown,1971.0,No,4,Luxury,132360349.95439084
5593.0,1,2.0,Suburbs,1952.0,Yes,1,Luxury,102958435.90559003
1867.0,1,1.0,Suburbs,1951.0,No,4,Standard,47762540.057308495
6395.0,3,2.0,Suburbs,1999.0,Yes,1,Standard,114728782.8030161
616.0,1,1.0,Downtown,2026.0,Yes,1,Basic,39817437.533433974
2089.0,1,1.5,Suburbs,1981.0,No,3,Luxury,58898713.008142546
6786.0,3,2.5,Downtown,2026.0,Yes,2,Basic,143204396.67618635
7165.0,1,1.5,Rural,1985.0,Yes,3,,118961784.7555713
3800.0,3,2.0,Suburbs,,No,1,Luxury,87018805.71913537
7041.0,2,3.0,Rural,1954.0,Yes,1,Standard,111437207.0297482
5688.0,1,1.0,Downtown,1959.0,Yes,1,Basic,105127823.19097966
7203.0,5,5.0,Suburbs,1967.0,Yes,1,Basic,133466857.30183713
7585.0,3,2.5,Suburbs,1953.0,Yes,3,Basic,127011302.35340364
7919.0,3,3.5,Suburbs,1951.0,No,1,Basic,132167437.96355747
5051.0,1,1.0,Downtown,1967.0,Yes,2,Luxury,106225822.7326216
3679.0,1,1.5,Rural,2009.0,No,3,Basic,68615623.94841461
2068.0,2,2.5,Suburbs,2024.0,Yes,2,Standard,62136773.22389969
5768.0,6,5.0,Suburbs,2020.0,Yes,2,Standard,127869476.39309901
7721.0,1,1.0,Uptown,1968.0,No,2,Luxury,132831692.43347174
3482.0,6,5.0,Uptown,1952.0,Yes,1,Standard,91899324.90392572
1123.0,1,1.0,Rural,2025.0,No,2,Basic,37296274.46029634
5047.0,3,3.0,Rural,1958.0,Yes,4,Standard,91962870.27001244
5142.0,5,5.0,Downtown,1991.0,Yes,3,Luxury,132660526.92313807
1650.0,6,5.0,Suburbs,1965.0,Yes,2,Standard,66398464.02987485
1209.0,5,5.0,Suburbs,2000.0,No,3,Basic,59524024.30217714
4935.0,2,2.0,Waterfront,1962.0,Yes,1,Basic,107804717.71841414
7065.0,5,4.5,Waterfront,2026.0,No,1,Luxury,187636084.5142782
4818.0,5,4.5,Suburbs,1966.0,Yes,4,Standard,105906257.26337372
3730.0,1,1.5,Suburbs,1994.0,Yes,4,Basic,75784207.65559085
3794.0,2,3.0,Suburbs,2014.0,Yes,4,Standard,90596377.60750678
5305.0,2,1.0,Waterfront,2017.0,No,3,Standard,126162470.07522565
785.0,5,5.0,Suburbs,1957.0,Yes,3,Basic,52351490.66447023
864.0,1,2.0,Suburbs,2015.0,Yes,4,Basic,42028716.3002663
5454.0,5,4.5,Suburbs,1969.0,Yes,1,Basic,108583578.09347114
1167.0,4,3.5,Downtown,1990.0,Yes,2,Basic,60740628.06052423
4994.0,6,5.0,Suburbs,1995.0,Yes,2,Standard,113480544.44951966
1531.0,6,5.0,Uptown,1975.0,No,1,Standard,65764987.06746616
7088.0,6,5.0,Downtown,2003.0,Yes,2,Standard,157657086.6849223
4016.0,5,5.0,Downtown,1966.0,Yes,2,Basic,98681493.56277035
5842.0,6,5.0,Rural,2000.0,Yes,4,Standard,125486427.77816056
7400.0,5,5.0,Downtown,1987.0,Yes,1,Basic,157284138.24405256
1400.0,5,4.0,Suburbs,1997.0,No,1,Basic,58423132.93026748
5842.0,1,1.0,Downtown,2018.0,Yes,4,Basic,119738893.48468512
7392.0,5,4.0,Suburbs,1953.0,Yes,2,Basic,131951718.05395743
2700.0,3,3.5,Downtown,2001.0,No,3,Basic,79198455.86006649
5948.0,2,2.5,Downtown,2023.0,Yes,4,Basic,129349445.46385494
4006.0,1,1.5,Waterfront,1970.0,Yes,2,Basic,92720164.18468422
5776.0,6,5.0,Rural,,Yes,3,Standard,117255938.56560123
4646.0,1,1.0,Downtown,1991.0,Yes,4,Basic,96570327.42278126
5343.0,1,1.0,Uptown,1960.0,Yes,2,Standard,92014974.0735169
7617.0,4,3.0,Rural,1959.0,No,1,Luxury,131786349.50228897
773.0,2,1.5,Downtown,2026.0,Yes,4,Luxury,59834780.426916555
5469.0,3,2.0,Downtown,1986.0,No,1,Luxury,119640638.32582685
5304.0,2,2.0,Downtown,2004.0,Yes,2,Standard,114199353.88388963
2564.0,6,5.0,Rural,2005.0,No,4,Basic,75857533.36563262
4693.0,1,1.0,Suburbs,1987.0,Yes,4,Standard,92392007.38637489
1847.0,2,2.0,Uptown,1964.0,Yes,2,Standard,54152334.71165542
4922.0,3,3.5,Uptown,1970.0,No,1,Standard,99241052.74924362
1618.0,6,5.0,Rural,1974.0,Yes,2,Basic,60109970.209575705
5188.0,3,3.5,Suburbs,1956.0,Yes,3,Luxury,110186422.34822795
1416.0,4,4.0,Rural,1992.0,Yes,2,Standard,51267447.68470823
1249.0,5,4.5,Downtown,1989.0,No,1,Standard,67004445.801009424
5143.0,6,5.0,Waterfront,1999.0,Yes,3,Standard,140989839.55933586
3767.0,6,5.0,Rural,1963.0,Yes,1,,86446755.92764722
6276.0,2,1.5,Rural,1980.0,No,4,Luxury,113929638.31515588
3641.0,1,1.0,Rural,1999.0,Yes,4,Basic,67871167.49292225
4533.0,2,2.0,Downtown,1950.0,Yes,3,Standard,94924683.79208735
5244.0,2,2.0,Downtown,1981.0,Yes,1,Standard,108362892.90917726
1269.0,6,5.0,Suburbs,2018.0,No,4,Basic,66088207.39753111
3715.0,5,5.0,Suburbs,1955.0,No,4,Basic,86443284.21540746
7063.0,1,1.5,Suburbs,1984.0,Yes,1,Standard,116396106.14047804
5516.0,3,2.5,Suburbs,1955.0,Yes,1,Standard,101634660.83485009
2989.0,4,4.0,Suburbs,1961.0,Yes,1,Basic,75172681.62692805
2074.0,5,5.0,Suburbs,1998.0,No,4,Standard,74648954.3762036
7741.0,3,2.5,Downtown,1960.0,Yes,3,Basic,150682546.92490348
682.0,1,1.5,Suburbs,1960.0,No,1,Standard,31242717.219838962
7927.0,6,5.0,Suburbs,2016.0,Yes,2,Standard,157275127.1962085
4811.0,1,2.0,Suburbs,2007.0,No,4,Basic,89145312.49014121
820.0,1,1.0,Uptown,1989.0,Yes,1,Luxury,45097745.371071145
5799.0,1,1.0,Suburbs,1997.0,Yes,1,Standard,102363711.16033903
1339.0,2,2.0,Suburbs,2006.0,Yes,4,Standard,52102931.05540758
7801.0,4,4.0,Suburbs,1951.0,Yes,2,Basic,135251945.46047208
2911.0,6,5.0,Downtown,2002.0,No,1,Standard,91277325.09546149
7857.0,6,5.0,Suburbs,1953.0,Yes,1,Standard,144347546.51176605
4631.0,2,2.0,Downtown,2000.0,Yes,4,Luxury,112581760.40688387
715.0,4,4.0,Rural,1993.0,Yes,1,Basic,37305644.54335933
1235.0,6,5.0,Downtown,1994.0,Yes,1,Standard,70817152.67746003
7527.0,4,4.0,Downtown,2005.0,Yes,1,Basic,160168438.0943255
2876.0,2,1.5,Rural,2020.0,Yes,1,Basic,62918056.6938269
7433.0,1,1.0,Suburbs,2022.0,No,3,Standard,128726690.5671426
4072.0,1,2.0,Downtown,1987.0,Yes,2,Standard,89296524.68196085
3401.0,5,5.0,Rural,1988.0,Yes,1,Basic,79994634.67078474
6650.0,6,5.0,Suburbs,1985.0,Yes,4,Luxury,143766375.90409288
7296.0,6,5.0,Downtown,1969.0,Yes,1,Basic,156057861.7931504
1057.0,2,2.0,Suburbs,1995.0,No,2,Basic,41927412.40567262
6597.0,6,5.0,Downtown,1952.0,Yes,2,Standard,144955904.9936603
4373.0,3,3.0,Suburbs,1955.0,Yes,4,Basic,86886635.90905383
2253.0,1,1.5,Uptown,2004.0,Yes,2,Standard,59685577.98389784
5098.0,3,3.0,Suburbs,1992.0,Yes,1,Standard,102322863.99086666
7508.0,2,2.0,Rural,1987.0,Yes,4,Luxury,131818122.89063485
2505.0,4,3.0,Rural,1988.0,No,2,Standard,61069183.798275426
2767.0,1,1.0,Uptown,1990.0,Yes,4,Standard,69254622.81904048
6078.0,1,2.0,Suburbs,1970.0,No,3,Standard,102721143.70612979
5736.0,5,4.0,Suburbs,1991.0,Yes,1,Basic,114423612.54041624
6057.0,5,4.0,Suburbs,1974.0,Yes,1,Basic,115821171.00567856
7283.0,4,3.5,Rural,1959.0,Yes,1,Standard,120751522.57341072
7815.0,4,3.5,Suburbs,1991.0,Yes,1,Standard,140954462.815032
6842.0,4,4.0,Suburbs,1986.0,Yes,4,Standard,132038257.6911536
7686.0,5,4.0,Downtown,1965.0,Yes,3,Luxury,169525986.20878702
7692.0,4,4.0,Rural,2025.0,Yes,1,Standard,139863757.06593922
4714.0,4,4.0,Suburbs,1967.0,No,3,Standard,102772328.56107734
3465.0,5,5.0,Uptown,2026.0,Yes,3,Luxury,107982842.05915986
7159.0,4,4.0,Downtown,1953.0,Yes,2,Standard,149735748.91036654
7624.0,5,5.0,Uptown,1994.0,Yes,1,Basic,144032570.2180985
4902.0,3,2.0,Rural,1974.0,Yes,3,Basic,88141162.51552762
6143.0,1,1.0,Suburbs,2023.0,Yes,2,Basic,110299998.33078888
5876.0,2,2.0,Suburbs,1952.0,No,3,Standard,100653799.39383842
4374.0,3,2.5,Downtown,1952.0,Yes,3,Basic,96093901.15451664
1088.0,1,1.0,Waterfront,1951.0,Yes,1,Basic,52771595.01080388
5479.0,4,4.0,Downtown,1962.0,Yes,3,Standard,123655584.83977333
2233.0,5,5.0,Suburbs,1991.0,No,3,Basic,70431743.22768074
3655.0,6,5.0,Suburbs,1999.0,No,1,Luxury,101819699.2702575
7638.0,6,5.0,Uptown,1951.0,Yes,1,Standard,145426799.19948193
5516.0,5,5.0,Suburbs,1979.0,Yes,3,,120115944.00208664
5299.0,1,1.0,Uptown,2000.0,Yes,2,Luxury,108732553.9960931
1588.0,6,5.0,Suburbs,1950.0,Yes,2,Basic,61153623.373677954
2312.0,2,1.0,Uptown,2015.0,No,1,Basic,59097204.60439671
4857.0,2,2.0,Downtown,1964.0,No,3,Standard,103869182.83207723
1091.0,1,1.0,Downtown,2009.0,No,4,Basic,46321334.04851751
6294.0,6,5.0,Suburbs,2007.0,Yes,3,Standard,134129221.70158347
2656.0,4,4.5,Uptown,1962.0,No,2,Basic,72667745.86742628
7464.0,2,1.0,Suburbs,1954.0,Yes,3,Basic,122546936.59393725
4678.0,5,5.0,Suburbs,1992.0,Yes,2,Luxury,113535188.07075289
1275.0,6,5.0,Downtown,1993.0,Yes,3,Luxury,78624286.0515046
2541.0,6,5.0,Suburbs,1985.0,Yes,1,Basic,75938587.29671898
6186.0,5,4.5,Rural,1993.0,Yes,4,Basic,121203195.17703198
5675.0,6,5.0,Uptown,1980.0,Yes,4,Standard,127238833.64609581
697.0,6,5.0,Downtown,2011.0,No,3,Standard,68305729.84561436
7928.0,3,3.0,Downtown,2013.0,Yes,1,Basic,159981031.50918004
,2,2.0,Rural,1956.0,Yes,4,Basic,80181354.6492743
1081.0,4,3.5,Downtown,2008.0,Yes,3,Luxury,71094481.89504354
3300.0,5,4.0,Uptown,1976.0,Yes,3,Standard,87843385.14647515
6451.0,6,5.0,Uptown,2000.0,Yes,4,Basic,137767656.55799684
5703.0,6,5.0,Rural,1963.0,No,2,Standard,111450251.74033059
6245.0,5,4.5,Suburbs,1982.0,Yes,1,Luxury,132664869.96124369
1420.0,3,3.0,Uptown,2013.0,Yes,4,Luxury,71181325.93988477
831.0,5,5.0,Rural,2018.0,No,4,Standard,55012720.15504376
7264.0,4,3.5,Suburbs,1992.0,No,3,Basic,131035470.03803799
4785.0,1,2.0,Uptown,1999.0,No,4,Basic,94170131.86168057
3149.0,6,5.0,Suburbs,1993.0,Yes,2,Basic,87393009.60334384
2119.0,4,4.0,Suburbs,1951.0,Yes,3,Standard,63595975.51418855
7424.0,6,5.0,Suburbs,2011.0,Yes,3,Standard,150555991.61226386
975.0,5,5.0,Suburbs,1965.0,Yes,1,Luxury,61821909.26311764
2558.0,2,1.5,Suburbs,1964.0,No,3,Basic,55871553.76987039
7131.0,2,2.5,Downtown,1968.0,Yes,4,Basic,141694190.74252206
4736.0,2,1.5,Downtown,2010.0,Yes,1,Standard,102545901.38418433
2868.0,5,5.0,Uptown,2000.0,Yes,4,Basic,85761810.29294653
1890.0,6,5.0,Suburbs,1972.0,Yes,2,Standard,70862476.18687977
3569.0,6,5.0,Suburbs,1959.0,Yes,2,Basic,87256675.9661515
6549.0,6,5.0,Suburbs,2006.0,Yes,1,Standard,133281808.99323064
3391.0,2,2.0,Suburbs,1992.0,No,4,Basic,72217398.27800485
4241.0,2,2.5,Rural,2006.0,Yes,4,Luxury,93213837.57574536
6790.0,6,5.0,Uptown,1967.0,Yes,2,Basic,135568895.74737895
4423.0,5,5.0,Downtown,1981.0,Yes,2,Luxury,120160044.0843729
4569.0,2,3.0,Downtown,2019.0,Yes,1,Basic,104018825.9993606
7588.0,4,4.0,Downtown,2003.0,No,1,Basic,153870837.5293504
6306.0,2,1.0,Suburbs,1968.0,No,4,Standard,108421543.76349458
6489.0,6,5.0,Suburbs,1977.0,Yes,2,Standard,132924286.2234387
734.0,1,1.0,Suburbs,2017.0,Yes,3,Standard,40588297.3190437
3161.0,5,5.0,Suburbs,1994.0,Yes,2,Luxury,94704546.5058496
6423.0,4,4.5,Downtown,1985.0,Yes,4,Basic,140055706.02663833
2515.0,1,1.0,Suburbs,1966.0,Yes,1,Standard,52759265.57813029
5555.0,4,4.0,Rural,1996.0,Yes,4,Standard,110368602.58137292
1203.0,4,4.5,Suburbs,1999.0,Yes,2,Basic,54757069.19037691
6736.0,2,2.0,Downtown,2019.0,No,1,Basic,134471269.3870105
2182.0,4,4.5,Downtown,2026.0,Yes,1,Standard,83553637.41693735
4633.0,6,5.0,Downtown,1986.0,No,4,Standard,120148334.72399175
